StudentID,GWA,GradePointEqv
39205,85,1.7
39140,78,2.1
39163,78,2.1
39069,80,2
39245,82,1.9
39246,73,2.3
39953,79,2
39176,79,2
39350,85,1.7
39221,86,1.7
39952,81,1.9
39249,80,2
39959,81,1.9
39224,79,2
39178,84,1.8
39951,79,2
39957,85,1.7
39908,77,2.1
39232,83,1.8
39213,76,2.2
39196,78,2.1
39351,80,2
39475,75,2.2
39248,81,1.9
39398,82,1.9
39215,82,1.9
40643,82,1.9
39397,77,2.1
39190,59,5
39947,73,2.3
39760,53,5
38952,71,2.4
39191,84,1.8
39207,81,1.9
39950,84,1.8
39561,79,2
39312,80,2
39478,80,2
39463,88,1.6
39458,84,1.8
39330,83,1.8
39691,84,1.8
39879,92,1.4
39523,92,1.4
39646,79,2
39472,87,1.6
39440,82,1.9
39882,89,1.5
39467,85,1.7
39890,91,1.4
39917,91,1.4
40153,82,1.9
39465,84,1.8
40089,89,1.5
39688,90,1.5
39905,81,1.9
39602,87,1.6
39553,83,1.8
39613,83,1.8
39347,85,1.7
39966,87,1.6
39473,86,1.7
39880,89,1.5
39873,91,1.4
39057,86,1.7
39346,86,1.7
39883,88,1.6
39868,94,1.3
39253,87,1.6
37659,84,1.8
39893,86,1.7
39303,87,1.6
39424,97,1.1
39663,79,2
39614,85,1.7
39887,94,1.3
32601,85,1.7
37628,79,2
37946,85,1.7
38084,80,2
37171,85,1.7
38330,76,2.2
37841,86,1.7
37608,81,1.9
38208,81,1.9
37611,78,2.1
37160,89,1.5
37511,69,2.6
37348,73,2.3
37308,85,1.7
38949,91,1.4
37482,81,1.9
38382,90,1.5
37419,81,1.9
37388,81,1.9
38347,85,1.7
38033,84,1.8
38446,86,1.7
37646,86,1.7
38093,87,1.6
37668,91,1.4
37159,91,1.4
37829,76,2.2
38178,82,1.9
37613,83,1.8
37596,82,1.9
37595,84,1.8
37606,82,1.9
38147,97,1.1
37938,89,1.5
37373,88,1.6
37802,98,1.1
37870,92,1.4
38017,85,1.7
37524,81,1.9
38259,81,1.9
38277,76,2.2
37194,85,1.7
37338,92,1.4
37915,91,1.4
38043,87,1.6
37554,90,1.5
37914,90,1.5
37458,90,1.5
37638,89,1.5
37130,87,1.6
37317,90,1.5
37783,85,1.7
37640,86,1.7
37605,92,1.4
37353,92,1.4
37144,91,1.4
37468,90,1.5
37941,96,1.2
37277,99,1
38353,92,1.4
37215,93,1.3
37238,88,1.6
37332,83,1.8
38367,66,2.9
38497,93,1.3
37197,91,1.4
37414,89,1.5
37376,87,1.6
38290,94,1.3
37330,88,1.6
38415,92,1.4
37527,89,1.5
37864,80,2
38502,73,2.3
38236,95,1.2
37288,83,1.8
36647,99,1
37209,82,1.9
37768,87,1.6
37336,97,1.1
37470,77,2.1
38423,85,1.7
38094,65,3
37762,81,1.9
37512,92,1.4
38318,82,1.9
35573,5,5
37709,84,1.8
38151,95,1.2
37650,75,2.2
38507,82,1.9
38326,79,2
38059,88,1.6
38095,81,1.9
37942,90,1.5
37379,75,2.2
38120,79,2
38101,84,1.8
37782,82,1.9
38138,90,1.5
38285,82,1.9
37283,96,1.2
37954,48,5
37424,81,1.9
37600,87,1.6
38136,84,1.8
37970,92,1.4
37660,81,1.9
38258,81,1.9
38332,78,2.1
38439,83,1.8
37740,84,1.8
38512,53,5
37472,88,1.6
37642,87,1.6
37779,85,1.7
37537,81,1.9
37796,75,2.2
37566,85,1.7
37663,81,1.9
37399,73,2.3
35684,64,3.1
37467,74,2.3
37918,92,1.4
37221,76,2.2
37900,85,1.7
38256,76,2.2
38361,79,2
37438,89,1.5
37710,85,1.7
37343,83,1.8
37432,74,2.3
37563,88,1.6
37517,82,1.9
37564,90,1.5
38297,92,1.4
37599,71,2.4
37943,81,1.9
37157,40,5
34216,75,2.2
37664,73,2.3
37781,83,1.8
38319,85,1.7
37810,80,2
38133,78,2.1
33923,76,2.2
37647,85,1.7
37359,81,1.9
37456,79,2
35607,89,1.5
37856,82,1.9
37262,86,1.7
38366,74,2.3
37633,81,1.9
37237,71,2.4
37949,84,1.8
37672,92,1.4
38183,75,2.2
38262,55,5
38266,84,1.8
37281,82,1.9
38040,88,1.6
37246,92,1.4
37555,89,1.5
37878,92,1.4
37846,83,1.8
37530,78,2.1
38253,92,1.4
38726,79,2
37624,78,2.1
38149,80,2
37721,87,1.6
37813,80,2
37834,79,2
37242,84,1.8
38041,99,1
37602,78,2.1
37767,87,1.6
37637,75,2.2
38299,6,5
37754,79,2
38154,85,1.7
38666,82,1.9
37612,87,1.6
37688,84,1.8
38267,83,1.8
38070,85,1.7
37305,79,2
37913,82,1.9
38024,96,1.2
37840,79,2
38119,85,1.7
37716,78,2.1
37523,87,1.6
37556,81,1.9
37561,83,1.8
37534,73,2.3
37950,62,3.3
38072,74,2.3
37654,74,2.3
37803,50,5
38140,63,3.2
37479,72,2.4
37619,43,5
37603,74,2.3
37565,69,2.6
36074,58,5
37801,51,5
37799,55,5
37670,69,2.6
35700,61,3.4
37819,58,5
38128,75,2.2
37879,,9
36348,69,2.6
35816,57,5
36856,52,5
37655,67,2.8
37357,56,5
37706,50,5
37955,78,2.1
38211,80,2
37040,59,5
38257,75,2.2
37522,27,5
37887,54,5
38166,69,2.6
37698,65,3
35764,60,3.5
35835,65,3
37461,65,3
38049,42,5
37177,54,5
35650,71,2.4
37826,57,5
35553,66,2.9
38055,75,2.2
36475,73,2.3
35482,58,5
38492,70,2.5
38335,70,2.5
37750,65,3
36100,72,2.4
36872,91,1.4
38190,83,1.8
37429,80,2
37720,83,1.8
37500,83,1.8
35630,73,2.3
36120,91,1.4
37449,80,2
37666,78,2.1
38221,82,1.9
37860,77,2.1
37290,76,2.2
37294,79,2
37136,82,1.9
37335,80,2
37097,65,3
37195,69,2.6
36417,87,1.6
36626,64,3.1
38960,78,2.1
37316,79,2
37331,80,2
37219,87,1.6
37384,71,2.4
37056,79,2
37457,83,1.8
37156,74,2.3
39873,86,1.7
38210,80,2
38706,57,5
37440,37,5
37481,82,1.9
37212,75,2.2
36601,85,1.7
37306,42,5
37155,73,2.3
37991,81,1.9
38672,69,2.6
37267,71,2.4
37625,84,1.8
37218,70,2.5
37622,78,2.1
36549,70,2.5
38562,85,1.7
37533,78,2.1
37265,86,1.7
38567,78,2.1
37689,66,2.9
38255,76,2.2
37434,80,2
38025,,9
38388,84,1.8
38469,76,2.2
37546,82,1.9
40244,72,2.4
38723,70,2.5
37302,77,2.1
37147,,9
40090,,9
38589,77,2.1
37886,79,2
34753,79,2
38230,68,2.7
38602,76,2.2
37204,80,2
37279,78,2.1
38556,84,1.8
38505,79,2
37978,79,2
38716,58,5
38652,56,5
37964,77,2.1
37965,71,2.4
38471,77,2.1
38552,71,2.4
37417,76,2.2
